participant_id,gender,total_time_min
67578,female,15.901566666666668
67600,female,29.093766666666667
67609,male,4.781033333333333
67616,female,16.5865
67617,female,18.383583333333334
67623,female,8.493483333333334
67632,female,4.943933333333334
67681,male,11.6953
67688,female,26.070766666666668
67690,female,5.086316666666667
67746,female,5.4176166666666665
67753,male,28.3683
67755,female,10.128116666666667
67777,female,13.5292
67784,male,6.3536
67814,male,13.28725
67822,female,7.942783333333334
67848,female,17.171483333333335
67857,female,18.15395
67875,NA,12.255483333333334
67878,male,10.487616666666666
67881,male,12.033116666666666
67928,female,15.684633333333334
67929,female,12.017216666666666
67935,female,2.5720666666666667
67936,female,17.601516666666665
68094,male,12.0197
68103,male,17.233633333333334
68112,female,13.560533333333334
68137,female,14.699683333333333
68139,male,33.44845
68159,female,10.478116666666667
68208,female,9.27465
68210,female,9.405516666666667
68241,male,7.6067833333333335
68266,male,33.624766666666666
68271,male,11.8496
68303,female,12.515783333333333
68319,female,8.257933333333334
68333,male,8.3221
68339,male,7.8863
68376,female,14.931533333333334
68405,female,10.368616666666666
68429,female,16.622816666666665
68432,male,23.861933333333333
68438,female,9.5512
68443,female,24.386316666666666
68592,male,17.9801
68633,male,12.740616666666666
68652,male,10.523166666666667
68667,female,18.406966666666666
68684,male,7.237783333333334
68700,male,12.460833333333333
68732,female,12.351566666666667
68736,male,17.21825
68742,female,20.715083333333332
68779,female,18.576983333333335
68790,female,13.806083333333333
68794,female,11.798566666666666
68809,female,8.4568
68824,male,12.460683333333334
68834,female,12.739283333333333
68874,female,11.11735
68901,female,19.64395
68902,male,17.09935
68957,male,32.56835
69106,male,15.970983333333333
69129,female,15.46745
69132,female,18.175883333333335
69189,female,15.093733333333333
69260,male,9.023066666666667
69293,male,19.712233333333334
69298,female,19.7147
69307,male,14.246966666666667
69346,female,28.909316666666665
69351,male,12.523666666666667
69352,male,13.289816666666667
69395,female,6.8322
69416,male,23.581416666666666
69418,female,5.5426166666666665
69447,male,15.159683333333334
69457,male,11.23045
69460,male,17.47436666666667
69614,male,12.943333333333333
69709,male,11.634083333333333
69712,female,6.904566666666667
69773,male,10.772266666666667
69775,female,8.8846
69780,male,13.097933333333334
69801,female,31.845233333333333
69853,female,11.341033333333334
69904,male,10.144516666666666
69926,female,15.251083333333334
70130,male,10.827383333333334
70134,male,13.5907
70138,female,7.1427
70139,female,14.0196
