term,effect,Beta,SE,Z,p,model_type
(Intercept),fixed,-1.19,0.14,-8.41,<.001,ibdb
"prop. female, Hudson Kam and Matthewson (2017)",fixed,2.2,0.29,7.69,<.001,ibdb
(Intercept),fixed,-1.02,0.14,-7.23,<.001,char
character score,fixed,0.42,0.05,8.29,<.001,char
(Intercept),fixed,-9.21,1.22,-7.54,<.001,content
content score,fixed,3.03,0.4,7.53,<.001,content
(Intercept),fixed,-11.57,2.17,-5.34,<.001,char_content
character score,fixed,0.34,0.05,6.98,<.001,char_content
content score,fixed,3.56,0.73,4.89,<.001,char_content
