book_id,title,author,token_gender_mean,gender_group,char_main_singular,char_main_gender,char_name,n
L175,WHISTLE FOR WILLIE,EZRA JACK KEATS,2.594931324579242,male-biased,YES,M,PETER,379
L198,MORTIMER,ROBERT MUNSCH,2.5975379265134997,male-biased,YES,M,MORTIMER,399
M13,HAROLD AND THE PURPLE CRAYON,CROCKETT JOHNSON,2.604137206647967,male-biased,YES,M,HAROLD,662
L213,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE",SHERRI DUSKEY RINKER AND TOM LICHTENHELD,2.611152760878107,male-biased,NO,M,NA,514
M42,IF YOU GIVE A MOUSE A COOKIE,LAURA JOFFE NUMEROFF,2.632385200929568,male-biased,YES,M,MOUSE,291
M11,CAPS FOR SALE,ESPHYR SLOBODKINA,2.639350812231247,male-biased,YES,M,PEDDLER,674
L131,ARTHUR'S NOSE,MARC BROWN,2.6433326075103207,male-biased,YES,M,ARTHUR,314
M10,THE SNOWY DAY,EZRA JACK KEATS,2.6438723901178354,male-biased,YES,M,PETER,324
M85,IF YOU GIVE A MOOSE A MUFFIN,LAURA JOFFE NUMEROFF,2.651155851887106,male-biased,YES,M,MOOSE,306
L107,"THOMAS AND FRIENDS: GO, TRAIN, GO!",REVEREND AWDRY,2.6511898010094836,male-biased,YES,M,THOMAS,513
M1,"BARK, GEORGE",JULES FEIFFER,2.6522779304029305,male-biased,YES,M,GEORGE,226
M53,HARRY THE DIRTY DOG,GENE ZION,2.6732500920615223,male-biased,YES,M,HARRY,452
M74,BEAR WANTS MORE,KARMA WILSON,2.6756819777597176,male-biased,YES,M,BEAR,365
M81,TRASHY TOWN,ANDREA ZIMMERMAN AND DAVID CLEMESHA,2.675772452855786,male-biased,YES,M,MR. GILLY,341
L217,GRANDFATHER'S JOURNEY,ALLEN SAY,2.676873444956449,male-biased,YES,M,GRANDFATHER,568
L130,CLIFFORD THE BIG RED DOG,NORMAN BRIDWELL,2.704920080852854,male-biased,YES,M,CLIFFORD,242
L171,LOST AND FOUND,OLIVER JEFFERS,2.7286765387751983,male-biased,YES,M,NA,453
M54,HOW DO DINOSAURS SAY GOOD NIGHT?,JANE YOLEN & MARK TEAGUE,2.7322336218353915,male-biased,YES,M,DINOSAUR,151
L158,YOU GET WHAT YOU GET,JULIE GASSMAN,2.733314810158953,male-biased,YES,M,MELVIN,393
L200,MIGHTY MONSTER MACHINES (BLAZE AND THE MONSTER MACHINES),NICKELODEON PUBLISHING,2.744297681800714,male-biased,YES,M,BLAZE,769
L252,BEAR SNORES ON,KARMA WILSON,2.7488499954637726,male-biased,YES,M,BEAR,416
M62,THE VERY HUNGRY CATERPILLAR,ERIC CARLE,2.754219443376182,male-biased,YES,M,VERY HUNGRY CATERPILLAR,224
M51,DINOSAUR RESCUE,PENNY DALE,2.7647138092260044,male-biased,NO,AND,NA,198
L170,HOW TO CATCH A STAR,OLIVER JEFFERS,2.7673351990049753,male-biased,YES,M,BOY,379
M76,CLIFFORD AT THE CIRCUS,NORMAN BRIDWELL,2.7706233989322224,male-biased,YES,M,CLIFFORD,447
L192,JUST ME AND MY DAD,MERCER MAYER,2.7758452779104954,male-biased,YES,AND,NA,161
M35,WHERE THE WILD THINGS ARE,AUTHOR:MAURICE SENDAK,2.777500771618419,male-biased,YES,M,MAX,341
L151,THE GRUFFALO'S CHILD,JULIA DONALDSON,2.78239226989227,male-biased,YES,M,THE GRUFFALO'S CHILD,607
M36,THE TALE OF PETER RABBIT,BEATRIX POTTER,2.7840040200149234,male-biased,YES,M,PETER,959
L145,PETE THE CAT: ROCKING IN MY SCHOOL SHOES,JAMES DEAN AND ERIC LITWIN,2.785846492443131,male-biased,YES,M,PETE,323
L229,MR. BROWN CAN MOO! CAN YOU?,DR. SEUSS,2.7922484871660695,male-biased,YES,M,MR. BROWN,436
M41,LITTLE BLUE TRUCK LEADS THE WAY,ALICE SCHERTLE,2.792884676655934,male-biased,NO,AND,NA,339
L111,TRIANGLE (SHAPE TRILOGY),MAC BARNETT AND JON KLASSEN,2.7933873853185,male-biased,YES,M,TRIANGLE,314
M48,GREEN EGGS AND HAM,DR. SEUSS,2.9252980041765086,neutral,YES,M,SAM,809
L144,SLOW LORIS,ALEXIS DEACON,2.9273617161025247,neutral,YES,M,LORIS,233
M6,CORDUROY,DON FREEMAN,2.9322505448357963,neutral,YES,M,CORDUROY,657
M23,THE GIVING TREE,SHEL SILVERSTEIN,2.9336894406303635,neutral,NO,MIXED,NA,625
L257,THE WHEELS ON THE BUS,PAUL O. ZELINSKY,2.9344134643824087,neutral,NO,MIXED,NA,245
L177,I WANT MY HAT BACK,JON KLASSEN,2.9349795245123964,neutral,YES,AND,NA,253
L132,BIG RED BARN,MARGARET WISE BROWN,2.9384793925500414,neutral,NO,AND,NA,339
L169,MAMA DON'T ALLOW,THACHER HURD,2.9479681846990484,neutral,YES,M,MILES,386
M46,CHICKA CHICKA BOOM BOOM,BILL MARTIN,2.9485800689506574,neutral,NO,AND,NA,280
M43,"OH, THE PLACES YOU'LL GO",DR. SEUSS,2.9517081541646757,neutral,YES,AND,NA,938
M31,DON'T LET THE PIGEON DRIVE THE BUS,MO WILLEMS,2.9540500453961993,neutral,YES,M,PIGEON,162
M93,SHOW DOG,MEGHAN MCCARTHY,2.955942103797615,neutral,YES,F,PRINCESS,504
M66,FROGGY GOES TO BED,JONATHAN LONDON,2.956248597855432,neutral,YES,M,FROGGY,488
L205,"HAND, HAND, FINGERS, THUMB",AL PERKINS,2.9588790461239443,neutral,NO,M,"JACK, JAKE",158
M68,MAISY GOES CAMPING,LUCY COUSINS,2.961524916165122,neutral,YES,F,MAISY,163
L241,THE MONSTER AT THE END OF THIS BOOK,JON STONE,2.965047791925357,neutral,YES,M,GROVER,370
L156,DIARY OF A WOMBAT,JACKIE FRENCH,2.9655096654046234,neutral,YES,AND,NA,340
L250,ELEPHANT AND PIGGY: TODAY I WILL FLY!,MO WILLIEMS,2.9660177917320776,neutral,YES,F,NA,186
L167,HOW ROCKET LEARNED TO READ,TAD HILLS,2.9665280391197277,neutral,YES,M,ROCKET,854
M44,THE LITTLE ENGINE THAT COULD,WATTY PIPER,2.9692546892367755,neutral,YES,F,LITTLE BLUE ENGINE,999
M20,OWL MOON,JANE YOLEN,2.9696059247874973,neutral,YES,AND,NA,785
M79,THE GROUCHY LADYBUG,ERIC CARLE,2.9727667924500505,neutral,YES,AND,GROUCHY LADYBUG,822
L223,IN THE NIGHT KITCHEN,MAURICE SENDAK,2.9818966661357966,neutral,YES,M,MICKEY,339
L129,"HELLO, ROCK",ROGER BRADFIELD,2.9835283731001963,neutral,YES,AND,NA,263
M84,BUNNY PARTY,ROSEMARY WELLS,2.984587973342154,neutral,YES,M,MAX,486
L246,PRESS HERE,HERVí_Åæ TULLET,2.9854593451815674,neutral,NO,NA,NA,245
M3,"BROWN BEAR, BROWN BEAR, WHAT DO YOU SEE?",BILL MARTIN JR,2.9861676784753706,neutral,NO,AND,NA,196
L224,DR. SEUSS'S ABC,DR. SEUSS,2.9942186792608143,neutral,NO,MIXED,NA,413
M75,CHICKA CHICKA 1-2-3,BILL MARTIN JR,2.9973638540946235,neutral,NO,AND,NA,324
M40,DRAGONS LOVE TACOS,ADAM RUBIN,3.00205987560256,neutral,NO,NA,NA,498
L242,GRUMPY BIRD,JEREMY TANKARD,3.0049826918282414,neutral,YES,M,BIRD,247
L237,LITTLE OWL'S NIGHT,DIVYA SRINIVASAN,3.0071425222789125,neutral,YES,M,LITTLE OWL,274
L196,LITTLE BEAR: WHAT WILL LITTLE BEAR WEAR?,ELSE HOLMELUND MINARIK,3.0083033026352863,neutral,YES,M,LITTLE BEAR,327
M73,CHARLIE AND THE NEW BABY,REE DRUMMOND,3.1332106064486753,female-biased,YES,M,CHARLIE,427
L244,ON THE NIGHT YOU WERE BORN,NANCY TILLMAN,3.1371289704036185,female-biased,NO,NA,NA,333
L121,HORNS TO TOES AND IN BETWEEN,SANDRA BOYNTON,3.1404623280188892,female-biased,NO,NA,NA,172
L128,TICKLE TIME,SANDRA BOYNTON,3.1533702587734846,female-biased,NO,NA,NA,301
L103,MISS NELSON IS MISSING,HARRY ALLARD,3.1616088649551037,female-biased,YES,F,MISS NELSON,657
L123,"NIGHT-NIGHT, LITTLE POOKIE",SANDRA BOYNTON,3.1640554298642534,female-biased,YES,AND,POOKIE,173
M70,LLAMA LLAMA HOME WITH MAMA,ANNA DEWDNEY,3.1699232093621377,female-biased,YES,M,LLAMA LLAMA,244
L210,BABY BELUGA,RAFFI,3.1703631392926876,female-biased,YES,AND,BABY BELUGA,175
L204,IF ANIMALS KISSED GOOD NIGHT,ANN WHITFORD PAUL,3.1773876738195277,female-biased,NO,MIXED,NA,340
L116,BELLY BUTTON BOOK,SANDRA BOYNTON,3.1852177088784233,female-biased,YES,F,NA,237
M67,GOLDILICIOUS,VICTORIA KANN,3.1924157130722643,female-biased,YES,F,PINKALICIOUS,681
L220,RAIN MAKES APPLESAUCE,JULIAN SCHEER,3.1925847555902704,female-biased,YES,AND,NA,189
L149,SPAGHETTI IN A HOT DOG BUN: HAVING THE COURAGE TO BE WHO YOU ARE,MARIA DISMONDY,3.2045583511728952,female-biased,YES,F,LUCY,948
L126,SNUGGLE PUPPY,SANDRA BOYNTON,3.205023296447292,female-biased,YES,AND,NA,178
M17,MADELINE,LUDWIG BEMELMANS,3.213922538629468,female-biased,YES,F,MADELINE,428
M57,MAISY GOES TO THE LIBRARY,LUCY COUSINS,3.220610500610501,female-biased,YES,F,MAISY,240
M15,THE OTHER SIDE,JACQUELINE WOODSON,3.2210782994026803,female-biased,YES,F,CLOVER,631
M89,WINTER DAYS IN THE BIG WOODS,LAURA INGALLS WILDER,3.2303078170843507,female-biased,YES,F,LAURA,562
M63,KNUFFLE BUNNY,MO WILLEMS,3.248925228550265,female-biased,YES,F,TRIXIE,209
L187,WELCOME LITTLE ONE,SANDRA MAGSAMEN,3.251291122399613,female-biased,YES,AND,NA,167
M47,I'M A BIG SISTER,JOANNA COLE,3.2569422640851213,female-biased,YES,F,BIG SISTER,234
L154,TIME FOR BED,MEM FOX,3.2584592775354997,female-biased,NO,AND,NA,203
L155,TEN LITTLE FINGERS AND TEN LITTLE TOES,MEM FOX AND HELEN OXENBURY,3.26385502518315,female-biased,NO,AND,NA,184
M69,OLIVIA. . . AND THE MISSING TOY,IAN FALCONER,3.2679872532670657,female-biased,YES,F,OLIVIA,370
L211,HOW TO BABYSIT A GRANDMA,JEAN REAGAN,3.27907730280518,female-biased,YES,F,NA,595
M56,LLAMA LLAMA RED PAJAMA,ANNA DEWDNEY,3.2971360023991605,female-biased,YES,M,LLAMA LLAMA,234
L185,GRANDMA WISHES,JULIA LOBO,3.3013321765953347,female-biased,YES,F,GRANDMA,160
M64,LADYBUG GIRL AT THE BEACH,DAVID SOMAN AND JACKY DAVIS,3.318835703660462,female-biased,YES,F,LULU,841
M14,THE KEEPING QUILT,PATRICIA POLACCO,3.3207150965301055,female-biased,YES,F,ANNA,809
L159,I LOVE MY MOMMY BECAUSE,LAUREL PORTER-GAYLORD,3.3350489110036072,female-biased,YES,AND,MOMMY,171
L253,THE NIGHT BEFORE MOTHER'S DAY,NATASHA WING,3.3605145872847397,female-biased,YES,F,MOM,403
M58,OLIVIA,IAN FALCONER,3.4911018167184085,female-biased,YES,F,OLIVIA,320
